epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,46.569,1.53852,3.51269,1.39169,0.01471,0.07552,0.04,0.02875,1.24761,4.2878,1.24561,0.0001495,0.0001495,0.0001495
2,88.614,1.05075,1.52273,1.06372,0.97413,0.03998,0.03346,0.0258,1.17143,4.36925,1.25751,0.000295204,0.000295204,0.000295204
3,130.975,0.9723,1.25174,1.03029,0.92684,0.04125,0.04545,0.0359,1.274,4.55827,1.26783,0.000434901,0.000434901,0.000434901
4,172.99,0.91927,1.12232,1.01328,0.21166,0.04651,0.04983,0.03981,1.19126,4.62658,1.23674,0.000427973,0.000427973,0.000427973
5,214.874,0.88716,0.97773,0.99539,0.09423,0.0458,0.04748,0.03806,1.28549,4.7355,1.32864,0.000418964,0.000418964,0.000418964
6,257.161,0.87516,0.90027,0.98978,0.09624,0.04482,0.04796,0.03863,1.32622,4.75905,1.32572,0.000409955,0.000409955,0.000409955
7,299.514,0.83859,0.82301,0.98292,0.09184,0.0404,0.04165,0.03318,1.31694,4.89622,1.35054,0.000400946,0.000400946,0.000400946
8,341.74,0.81415,0.76771,0.97659,0.09226,0.04466,0.04518,0.03649,1.40856,4.97316,1.37448,0.000391937,0.000391937,0.000391937
9,384.518,0.80142,0.70433,0.95699,0.08775,0.04314,0.04044,0.03283,1.43299,5.30997,1.40029,0.000382928,0.000382928,0.000382928
10,426.686,0.78883,0.68507,0.96438,0.0759,0.04167,0.0249,0.0199,1.39609,5.2593,1.36645,0.000373919,0.000373919,0.000373919
11,468.737,0.78739,0.65528,0.9591,0.08486,0.04609,0.03909,0.03257,1.54721,5.35238,1.46833,0.00036491,0.00036491,0.00036491
12,510.87,0.76642,0.61732,0.95299,0.02682,0.04672,0.03904,0.03264,1.48304,5.49705,1.37228,0.000355901,0.000355901,0.000355901
13,552.697,0.77918,0.58714,0.94959,0.03818,0.04671,0.04597,0.03851,1.45725,5.20871,1.3654,0.000346892,0.000346892,0.000346892
14,594.596,0.74939,0.56696,0.94958,0.04042,0.04882,0.04876,0.04064,1.4764,5.20188,1.39617,0.000337883,0.000337883,0.000337883
15,636.709,0.75485,0.53081,0.9454,0.02528,0.04924,0.03602,0.03029,1.39026,5.64106,1.33988,0.000328874,0.000328874,0.000328874
16,678.476,0.72635,0.52018,0.93427,0.03681,0.04924,0.0452,0.03762,1.43615,5.34547,1.35783,0.000319865,0.000319865,0.000319865
17,720.343,0.72077,0.51413,0.94086,0.03993,0.04945,0.04864,0.04049,1.40896,5.51204,1.35426,0.000310856,0.000310856,0.000310856
